"X,Y,fid,id,left,top,right,bottom,row_index,col_index,lon,lat"
"99.0607600548416,18.7738372208949,1,7,506229.5313,2075917.75,506429.5313,2075717.75,6,0,99.0607600548416,18.7738372208949"
"99.0608542954045,18.7723071920779,2,8,506229.5313,2075717.75,506429.5313,2075517.75,7,0,99.0608542954045,18.7723071920779"
"99.0609610161271,18.7709702311566,3,9,506229.5313,2075517.75,506429.5313,2075317.75,8,0,99.0609610161271,18.7709702311566"
"99.0607214702461,18.7500869834471,4,20,506229.5313,2073317.75,506429.5313,2073117.75,19,0,99.0607214702461,18.7500869834471"
"99.0603197055536,18.7485425822008,5,21,506229.5313,2073117.75,506429.5313,2072917.75,20,0,99.0603197055536,18.7485425822008"
"99.0604745650449,18.7469225962378,6,22,506229.5313,2072917.75,506429.5313,2072717.75,21,0,99.0604745650449,18.7469225962378"
"99.0605230875234,18.7453537698578,7,23,506229.5313,2072717.75,506429.5313,2072517.75,22,0,99.0605230875234,18.7453537698578"
"99.0628927486727,18.7766805046143,8,36,506429.5313,2076317.75,506629.5313,2076117.75,4,1,99.0628927486727,18.7766805046143"
"99.0622899626299,18.7754751712724,9,37,506429.5313,2076117.75,506629.5313,2075917.75,5,1,99.0622899626299,18.7754751712724"
"99.0619555824142,18.773956769015,10,38,506429.5313,2075917.75,506629.5313,2075717.75,6,1,99.0619555824142,18.773956769015"
"99.0619545179382,18.7721495736351,11,39,506429.5313,2075717.75,506629.5313,2075517.75,7,1,99.0619545179382,18.7721495736351"
"99.0619744478403,18.7703552394417,12,40,506429.5313,2075517.75,506629.5313,2075317.75,8,1,99.0619744478403,18.7703552394417"
"99.0621020568089,18.7685617293043,13,41,506429.5313,2075317.75,506629.5313,2075117.75,9,1,99.0621020568089,18.7685617293043"
"99.06229207089,18.7669338027134,14,42,506429.5313,2075117.75,506629.5313,2074917.75,10,1,99.06229207089,18.7669338027134"
"99.0627190155116,18.7642349543598,15,43,506429.5313,2074917.75,506629.5313,2074717.75,11,1,99.0627190155116,18.7642349543598"
"99.0628947265734,18.7658184326931,16,43,506429.5313,2074917.75,506629.5313,2074717.75,11,1,99.0628947265734,18.7658184326931"
"99.0624341770385,18.7631815923062,17,44,506429.5313,2074717.75,506629.5313,2074517.75,12,1,99.0624341770385,18.7631815923062"
"99.0628502630614,18.7621693274105,18,45,506429.5313,2074517.75,506629.5313,2074317.75,13,1,99.0628502630614,18.7621693274105"
"99.0626138216005,18.7537138668445,19,49,506429.5313,2073717.75,506629.5313,2073517.75,17,1,99.0626138216005,18.7537138668445"
"99.0622092350632,18.7521587231644,20,50,506429.5313,2073517.75,506629.5313,2073317.75,18,1,99.0622092350632,18.7521587231644"
"99.0619497195627,18.7504557320043,21,51,506429.5313,2073317.75,506629.5313,2073117.75,19,1,99.0619497195627,18.7504557320043"
"99.0619459399414,18.748650999514,22,52,506429.5313,2073117.75,506629.5313,2072917.75,20,1,99.0619459399414,18.748650999514"
"99.0619452806229,18.7468434144467,23,53,506429.5313,2072917.75,506629.5313,2072717.75,21,1,99.0619452806229,18.7468434144467"
"99.0619622338617,18.7450534329745,24,54,506429.5313,2072717.75,506629.5313,2072517.75,22,1,99.0619622338617,18.7450534329745"
"99.0624133258358,18.7437936395145,25,55,506429.5313,2072517.75,506629.5313,2072317.75,23,1,99.0624133258358,18.7437936395145"
"99.0647607004266,18.7785179389264,26,66,506629.5313,2076517.75,506829.5313,2076317.75,3,2,99.0647607004266,18.7785179389264"
"99.0641559353876,18.7773080024419,27,67,506629.5313,2076317.75,506829.5313,2076117.75,4,2,99.0641559353876,18.7773080024419"
"99.0638535495727,18.7757640948962,28,68,506629.5313,2076117.75,506829.5313,2075917.75,5,2,99.0638535495727,18.7757640948962"
"99.0638528688944,18.7739565151303,29,69,506629.5313,2075917.75,506829.5313,2075717.75,6,2,99.0638528688944,18.7739565151303"
"99.0638521882938,18.7721489350153,30,70,506629.5313,2075717.75,506829.5313,2075517.75,7,2,99.0638521882938,18.7721489350153"
"99.0638515077708,18.770341354551,31,71,506629.5313,2075517.75,506829.5313,2075317.75,8,2,99.0638515077708,18.770341354551"
"99.0638508273256,18.7685337737375,32,72,506629.5313,2075317.75,506829.5313,2075117.75,9,2,99.0638508273256,18.7685337737375"
"99.0638501469579,18.7667261925749,33,73,506629.5313,2075117.75,506829.5313,2074917.75,10,2,99.0638501469579,18.7667261925749"
"99.0639319132479,18.7648772039896,34,74,506629.5313,2074917.75,506829.5313,2074717.75,11,2,99.0639319132479,18.7648772039896"
"99.0638487864557,18.7631110292024,35,75,506629.5313,2074717.75,506829.5313,2074517.75,12,2,99.0638487864557,18.7631110292024"
"99.0641217873448,18.7616764690136,36,76,506629.5313,2074517.75,506829.5313,2074317.75,13,2,99.0641217873448,18.7616764690136"
"99.064506253998,18.7573407294582,37,78,506629.5313,2074117.75,506829.5313,2073917.75,15,2,99.064506253998,18.7573407294582"
"99.0640988333459,18.7557747976729,38,79,506629.5313,2073917.75,506829.5313,2073717.75,16,2,99.0640988333459,18.7557747976729"
"99.0638475258859,18.7540711439736,39,80,506629.5313,2073717.75,506829.5313,2073517.75,17,2,99.0638475258859,18.7540711439736"
"99.0638447068127,18.7522655307079,40,81,506629.5313,2073517.75,506829.5313,2073317.75,18,2,99.0638447068127,18.7522655307079"
"99.063844027144,18.7504579464042,41,82,506629.5313,2073317.75,506829.5313,2073117.75,19,2,99.063844027144,18.7504579464042"
"99.0638433475529,18.7486503617516,42,83,506629.5313,2073117.75,506829.5313,2072917.75,20,2,99.0638433475529,18.7486503617516"
"99.0638426680394,18.7468427767501,43,84,506629.5313,2072917.75,506829.5313,2072717.75,21,2,99.0638426680394,18.7468427767501"
"99.0638419886035,18.7450351913999,44,85,506629.5313,2072717.75,506829.5313,2072517.75,22,2,99.0638419886035,18.7450351913999"
"99.0639087247046,18.7432825642974,45,86,506629.5313,2072517.75,506829.5313,2072317.75,23,2,99.0639087247046,18.7432825642974"
"99.0643069844541,18.7415614006438,46,87,506629.5313,2072317.75,506829.5313,2072117.75,24,2,99.0643069844541,18.7415614006438"
"99.0646300128802,18.7401759888479,47,88,506629.5313,2072117.75,506829.5313,2071917.75,25,2,99.0646300128802,18.7401759888479"
"99.0659000974721,18.778730118874,48,97,506829.5313,2076517.75,507029.5313,2076317.75,3,3,99.0659000974721,18.778730118874"
"99.0657519612952,18.7775710162231,49,98,506829.5313,2076317.75,507029.5313,2076117.75,4,3,99.0657519612952,18.7775710162231"
"99.0657512603074,18.7757634368745,50,99,506829.5313,2076117.75,507029.5313,2075917.75,5,3,99.0657512603074,18.7757634368745"
"99.0657505593995,18.7739558571767,51,100,506829.5313,2075917.75,507029.5313,2075717.75,6,3,99.0657505593995,18.7739558571767"
"99.0657498585716,18.7721482771296,52,101,506829.5313,2075717.75,507029.5313,2075517.75,7,3,99.0657498585716,18.7721482771296"
"99.0657491578238,18.7703406967332,53,102,506829.5313,2075517.75,507029.5313,2075317.75,8,3,99.0657491578238,18.7703406967332"
"99.0657484571559,18.7685331159877,54,103,506829.5313,2075317.75,507029.5313,2075117.75,9,3,99.0657484571559,18.7685331159877"
"99.0657477565679,18.766725534893,55,104,506829.5313,2075117.75,507029.5313,2074917.75,10,3,99.0657477565679,18.766725534893"
"99.06574705606,18.7649179534493,56,105,506829.5313,2074917.75,507029.5313,2074717.75,11,3,99.06574705606,18.7649179534493"
"99.065746355632,18.7631103716564,57,106,506829.5313,2074717.75,507029.5313,2074517.75,12,3,99.065746355632,18.7631103716564"
"99.0657537374196,18.761310644963,58,107,506829.5313,2074517.75,507029.5313,2074317.75,13,3,99.0657537374196,18.761310644963"
